student_id,subject_id,mark
81809,244,73
32748,749,16
44986,583,63
39455,457,37
79755,122,91
87110,88,20
55586,373,25
3796,616,96
35833,644,91
92093,944,96
10918,439,40
82935,810,61
5529,244,79
52791,872,23
13162,588,45
58622,222,66
29989,190,15
50118,264,76
37212,203,28
37737,683,83
24897,505,62
52854,955,4
54726,987,50
85626,627,29
67291,684,14
12562,450,16
37681,136,98
61183,731,79
45920,845,67
3785,627,52
23760,372,40
54665,23,24
70159,177,54
90326,599,71
80812,673,89
48057,817,12
63673,922,3
90431,242,70
22535,517,71
16340,683,27
882,920,45
26949,484,22
74500,650,43
44112,949,90
26198,778,42
17203,939,83
31075,642,72
4013,116,58
62487,996,66
18151,30,30
8599,19,89
53242,983,14
44564,324,45
15272,830,38
68006,687,1
77513,127,82
53078,287,68
40297,521,95
23836,893,33
83318,273,81
3873,716,34
34851,423,5
37640,279,63
97534,847,48
68109,480,25
4406,353,10
81477,498,17
13875,895,34
90617,564,5
65942,639,65
30773,173,50
41385,437,48
3429,258,63
63684,496,48
84492,683,79
252,922,26
91509,885,79
51557,335,9
67566,144,37
43475,784,36
39214,737,62
32920,803,33
7259,244,99
22483,786,71
46570,319,0
33115,456,9
34310,983,30
14410,774,84
13710,972,7
83412,271,6
5486,251,89
24369,899,86
16036,43,34
72731,758,93
3754,129,16
32480,197,32
76591,220,4
2707,451,48
21949,618,88
48921,356,72
50393,802,17
93577,974,89
47322,566,44
84848,289,11
36797,585,5
26461,16,60
52409,940,64
30953,614,22
3972,603,76
67420,625,1
38066,804,31
84096,925,58
99632,63,23
69550,759,74
47747,477,10
68031,442,39
21726,204,1
36403,549,70
41787,889,58
13766,332,20
21888,848,55
6808,45,97
26995,443,0
5501,202,78
90957,765,19
16951,832,50
54171,597,20
55116,471,61
64768,831,9
89683,951,34
44334,664,85
1636,847,20
68014,433,50
83902,238,43
34497,16,42
10370,599,35
53978,585,38
3855,540,12
65497,748,23
90647,237,94
7753,319,9
56040,391,34
76417,62,56
51176,736,33
66627,305,15
85861,535,4
50837,49,47
55502,312,56
30622,903,53
20188,268,61
29830,444,48
42498,520,13
87818,954,67
65900,42,3
84542,803,25
71811,734,38
27004,120,70
72744,857,76
39458,766,75
79196,657,85
14289,496,45
26209,69,25
90517,146,16
28063,904,86
38832,467,1
62899,751,5
84878,572,52
26542,83,56
88436,441,68
8891,659,76
34723,221,9
52798,163,59
77640,777,55
34987,572,56
10084,366,25
31277,261,84
13311,643,70
90298,220,13
59004,61,92
56579,821,38
16406,246,37
81792,60,80
33668,226,87
23391,851,20
70672,277,0
42078,900,82
25413,623,59
54845,446,94
86560,128,8
50856,468,23
2581,954,39
38632,104,19
75113,42,55
91812,88,38
61344,282,44
259,626,21
71494,690,23
67518,942,22
83810,718,29
51173,690,97
29739,869,99
84924,279,46
81497,603,8
25184,380,34
90951,167,23
97982,267,0
94720,239,91
37018,818,23
55829,84,72
55266,668,80
68314,61,6
26214,49,9
53652,335,82
62662,400,54
96513,335,34
32331,508,70
24837,571,71
34910,273,78
60447,479,63
43375,765,55
90826,147,79
39856,192,31
7829,860,7
70127,645,44
37779,548,69
94517,35,46
91139,50,37
47838,981,95
45838,411,28
46194,783,41
66144,771,78
91224,480,60
14614,774,2
27140,463,43
317,603,12
33586,801,57
83514,569,1
72305,384,38
7384,926,19
33710,987,91
85135,295,44
41025,930,86
53427,897,94
54837,172,1
19739,449,61
37597,875,85
61877,657,83
44504,892,77
69146,278,38
70843,985,28
26708,159,86
17058,976,1
2636,73,73
59029,438,85
2967,664,55
81275,275,77
1058,199,6
57331,680,15
46612,958,52
75455,133,54
15465,549,61
67632,390,30
84244,221,43
58703,303,13
26673,181,79
80292,781,33
96031,417,50
37374,510,91
71453,587,0
39652,212,45
26219,893,52
58530,42,82
18181,639,35
71406,592,84
18334,707,6
80294,393,88
35243,685,62
56169,338,62
17238,645,63
89549,90,38
91222,631,76
16970,693,77
55011,225,35
61689,164,42
62185,369,57
32397,666,44
11295,322,70
65039,711,58
89264,924,26
35424,940,40
93247,93,25
44280,84,82
67284,490,93
51296,578,3
26466,189,25
117,193,76
30129,506,19
51987,573,38
73696,201,4
87408,245,42
42236,609,81
42034,525,91
98346,539,54
90165,834,73
93392,535,28
44062,461,45
58746,699,16
96723,848,74
88889,359,70
51516,243,4
95089,428,6
50837,903,76
61938,740,27
27512,463,64
86136,467,77
26388,984,29
94361,276,74
45473,175,8
45750,574,86
92748,62,81
39617,741,49
59273,474,76
22729,31,77
66291,700,18
17798,125,5
30029,500,7
47892,904,6
76446,240,49
58634,776,34
60785,934,3
83394,558,92
88148,534,96
5671,388,69
54305,234,21
62829,243,9
56948,330,12
78308,957,49
38779,24,99
5205,157,24
91118,816,12
16069,293,99
93977,105,77
30229,644,15
99342,912,80
53488,246,69
43950,521,14
92531,257,65
56137,650,43
64896,810,56
87151,725,28
5385,241,25
53818,250,23
27124,523,46
78950,925,16
13096,870,15
96129,143,33
55407,531,0
32110,655,16
56801,510,85
34478,130,54
90548,577,35
10601,753,65
26278,285,0
42192,916,5
35833,999,8
52105,691,49
47679,507,48
1039,341,71
96638,399,7
69014,28,39
89489,142,98
56059,212,56
6398,378,21
89392,676,13
90825,638,47
65039,321,56
64329,877,1
37814,838,64
53004,565,86
39018,707,67
96446,235,88
11096,280,93
49474,147,43
2256,144,47
59954,800,37
57220,373,86
6581,645,83
43272,813,1
1698,57,49
45292,995,35
17867,357,70
25126,659,78
2546,628,70
98058,504,89
54560,500,40
41748,578,46
7649,158,69
79536,745,87
24434,152,22
87276,55,78
48022,499,79
25239,665,44
22406,940,1
34482,943,66
88495,562,75
28542,932,41
59317,439,58
41690,296,29
55561,434,48
45650,100,43
91394,971,84
22461,482,70
63777,880,5
17759,477,56
12299,133,49
81412,234,98
59040,312,73
63126,434,46
36954,185,20
23961,818,18
98583,124,50
9968,374,10
44300,403,85
11726,405,87
23394,117,87
46601,284,80
48276,322,44
89091,145,36
80313,480,50
47245,40,27
46938,819,69
7197,54,97
46449,749,3
4703,411,38
87271,185,43
50583,515,55
99912,86,37
71912,917,37
29320,841,76
70319,619,86
62935,403,12
38324,298,70
80282,181,14
41052,716,25
75825,72,94
57097,706,70
85437,288,92
50705,387,66
56080,552,44
40287,231,28
26727,845,88
40156,644,28
99790,574,47
63413,326,36
14807,283,83
62139,647,97
80407,587,13
90951,415,69
36029,242,74
56241,831,85
30631,572,89
87869,565,83
85172,115,78
94279,996,22
7368,529,91
77371,225,55
3865,913,57
63992,815,9
38010,852,14
52187,160,90
72536,167,72
16967,63,43
49021,583,44
98032,507,86
3427,807,35
5962,381,49
92384,136,68
70463,649,25
21430,491,47
51072,27,41
31251,692,21
5864,776,27
6010,12,9
42916,191,77
57474,532,5
54029,832,45
3799,999,35
22378,386,47
19580,77,90
50597,679,58
92385,464,16
13572,288,29
80471,258,53
29758,49,28
6639,733,35
11243,173,59
71677,382,3
43635,511,66
19396,926,22
1832,982,86
77022,381,42
17055,965,2
64050,287,23
24540,283,30
16016,989,71
29041,491,2
35973,23,47
19245,124,64
15149,413,79
97103,210,6
27442,822,39
76119,916,62
11558,102,70
71911,825,93
35344,434,8
87300,447,79
37913,703,90
86051,995,50
67483,646,73
27217,758,17
5498,431,21
96464,423,89
53972,244,36
59786,190,78
30731,534,8
12414,758,4
77261,705,61
41520,268,30
20718,279,31
71566,115,18
35231,358,93
65187,288,60
96913,930,54
54136,629,8
19985,190,91
59276,327,90
38051,916,60
96310,567,14
75575,787,12
1196,685,10
17638,425,6
1309,240,25
13222,20,92
12004,194,21
50156,144,62
41516,226,34
71641,880,37
93732,799,51
21744,785,21
17440,865,16
59452,284,82
36585,117,56
6801,959,93
78672,573,39
78614,187,70
10176,819,94
72768,530,43
40568,132,31
16775,377,91
84592,228,2
8477,268,85
33312,836,36
85013,385,57
55590,455,29
56234,143,48
58674,750,9
40989,398,84
48722,644,42
76008,463,97
65770,988,20
71982,840,93
84589,519,71
6563,949,81
85052,717,24
38736,272,23
87554,263,64
72596,417,27
50323,448,38
53800,441,84
9363,869,86
71046,861,18
85793,716,52
44883,43,42
41640,637,93
24785,693,15
45453,215,40
55147,498,81
24490,241,70
70026,272,45
39649,405,67
62596,196,8
10828,988,53
38391,671,75
78682,832,83
23274,89,48
3114,810,29
93153,323,3
28881,596,5
62072,470,15
48121,586,26
12445,44,36
79756,221,55
82342,259,15
77209,783,46
62156,719,65
58146,156,75
67838,890,97
52248,74,37
39035,30,14
46331,638,83
5413,797,40
62685,743,46
4147,13,53
66219,772,65
52000,149,85
41080,570,93
47411,465,71
47374,591,60
73935,51,67
97342,767,8
8974,186,42
10363,974,37
83682,878,24
61703,569,62
9258,906,23
45965,374,21
96200,820,9
66617,998,92
36303,463,19
67033,576,7
49545,274,93
44610,477,34
54876,546,77
2253,532,31
32059,904,84
62273,567,35
14691,366,83
70886,153,67
41409,92,26
5917,640,78
70298,261,80
75453,343,63
17408,615,55
68896,914,59
19159,430,50
77165,761,15
30016,795,10
4425,305,73
36343,343,59
51783,355,21
29083,908,76
7222,761,72
56545,977,26
67045,8,1
66440,233,76
64527,279,65
90383,653,93
96218,264,53
73899,398,52
44268,412,74
11953,819,40
26538,781,15
52653,430,70
93494,794,49
48363,293,78
44526,811,53
9373,85,68
69443,865,41
25244,28,37
2340,674,23
28360,154,23
14796,851,60
74596,883,8
24013,216,57
71769,110,15
45342,669,47
8567,927,85
42822,359,72
5059,255,40
14856,238,40
12826,852,19
41972,781,56
34591,632,68
3818,562,73
29814,878,50
97207,585,70
96450,583,54
29158,96,81
81139,925,43
18170,893,45
45758,508,48
95296,388,2
15621,936,54
81298,821,98
44137,524,19
56165,550,85
75028,466,54
43667,565,69
11196,33,3
37900,495,35
38037,452,18
22933,530,8
77718,910,85
35204,36,3
89320,144,60
10623,767,89
25273,262,7
68069,716,34
1351,892,81
36812,920,34
64585,661,58
16705,361,63
75290,911,44
42029,651,69
49822,714,42
65505,294,96
58441,345,13
78526,118,41
66994,664,10
16861,337,71
71346,856,56
20777,690,45
87050,533,50
84814,196,32
47802,601,56
57662,966,28
69020,720,92
23268,24,78
56452,528,24
91550,503,25
47043,416,19
72899,564,9
48836,807,26
55758,123,78
11606,389,1
65615,184,55
84315,703,37
41694,448,40
48068,690,7
99606,679,44
53504,368,27
3390,432,99
59612,914,51
7717,769,70
73041,568,93
81204,843,0
13016,381,97
39865,212,12
83649,22,0
71687,40,49
9462,809,35
72871,190,84
75510,684,39
42316,741,67
47467,75,0
64589,849,51
59686,637,68
94023,615,70
5000,323,24
44269,12,42
28088,557,42
41614,268,40
97394,541,72
17610,129,45
58128,389,70
50200,325,21
48056,987,50
41012,80,35
55295,479,10
30913,406,94
40054,743,25
11047,866,32
25691,207,66
2696,106,12
34112,469,18
10403,552,90
20060,725,11
76074,455,50
1517,201,20
86829,936,16
10062,568,59
32401,433,86
34178,715,6
45075,296,65
18411,375,86
16369,941,89
24993,2,57
90589,583,29
18778,945,23
24336,909,66
45216,320,4
56394,459,51
80061,908,59
84308,389,48
45695,905,6
92791,386,59
34340,74,30
95300,867,36
25569,517,27
40430,379,19
62636,432,5
61582,131,25
9587,725,86
6211,256,34
5184,861,51
11461,1,51
36569,802,35
89275,170,60
71034,585,95
78932,47,18
10894,422,71
97252,411,33
86798,326,65
96996,203,52
53053,88,73
25435,93,34
25072,255,99
90902,602,2
30399,457,82
34131,31,17
46107,50,54
75310,640,54
37009,641,52
64938,788,34
54769,164,27
82201,804,43
34883,618,23
70399,534,4
27489,507,39
40752,516,58
99605,837,15
19374,920,66
77035,890,54
36096,613,56
70039,462,90
45178,746,32
20427,499,1
48041,723,79
47203,926,0
26666,246,24
13644,854,5
52748,812,63
15217,627,50
50848,931,26
7770,735,4
53487,242,62
59557,529,18
19123,908,49
10102,273,4
67819,267,91
39423,524,64
40757,507,55
4109,888,82
75693,825,24
81469,273,23
94030,745,67
26066,231,30
40615,737,6
5360,228,35
95871,255,77
95997,885,70
10814,984,28
85323,571,18
858,647,41
86831,770,28
36906,918,66
55754,356,59
78100,448,96
51304,657,46
59179,180,15
59472,786,11
86420,871,11
13530,830,98
38514,369,56
66483,614,81
43319,635,45
69337,135,55
79884,602,65
98952,512,91
19457,452,52
69463,674,42
58749,222,52
55328,996,65
15039,539,93
28482,189,79
93474,167,63
53231,877,20
76838,457,62
35150,992,13
12815,352,95
92282,684,30
29142,711,94
97505,443,8
25962,437,98
30148,155,20
27332,611,80
72019,822,87
38736,317,24
75417,238,5
6915,595,9
40086,202,4
73037,467,23
64130,573,23
81866,492,8
37531,96,89
90332,614,25
34802,741,18
41146,306,47
56474,606,43
55365,54,65
87955,380,35
68412,59,39
25201,835,92
56080,700,37
99007,229,74
50192,292,42
34334,141,98
70442,328,41
67887,96,72
47973,125,2
67719,587,91
35997,439,13
39793,317,70
64308,69,68
69405,648,36
19345,183,56
97288,273,18
9385,413,7
95452,551,96
67362,589,33
91244,128,80
24665,973,78
1116,551,8
34251,185,58
77892,275,45
28875,57,95
21825,496,52
75354,207,94
93553,264,51
95999,808,47
46578,809,98
79106,516,26
44319,721,86
35859,642,9
22271,788,68
40480,819,96
78221,898,59
74988,178,5
57840,706,18
87002,982,45
82536,203,8
62310,533,20
79711,263,1
747,568,19
59995,576,40
30728,965,52
53613,117,30
73437,62,21
72082,288,75
40658,86,32
39282,461,26
3743,156,56
47119,689,58
88778,142,80
95503,215,70
99277,174,77
75164,613,18
65032,753,68
72230,763,98
35973,335,78
79343,712,93
61929,547,30
15605,444,1
93022,618,37
63399,395,30
34650,520,35
22320,547,51
99844,794,90
67895,639,77
54182,274,16
20192,136,90
79445,176,20
18749,408,91
54873,549,15
84628,134,23
55002,256,44
33458,202,40
76330,812,82
78496,999,81
25499,979,76
76201,882,27
81248,794,71
58332,458,18
12236,938,60
80822,674,38
66507,864,55
35125,423,19
44492,340,86
40633,389,31
12085,795,36
95265,208,64
14843,666,27
34694,52,42
65166,92,6
32118,396,59
59844,89,42
15883,920,44
45933,831,78
32249,422,1
86786,423,48
59141,788,9
23425,914,29
46123,142,39
4063,613,44
90717,260,35
87472,49,74
26869,317,96
15323,201,35
90604,121,42
31824,726,65
40688,923,56
82991,863,99
83462,407,9
13131,457,68
38455,546,47
53359,200,47
90924,274,67
74641,551,45
32901,391,43
18663,114,49
97940,735,49
99263,117,4
61362,44,25
51967,468,95
61577,812,62
57946,607,72
82048,706,64
51442,45,5
90497,856,46
24077,439,42
81267,721,91
11917,396,96
69690,268,50
86293,490,94
95784,441,32
5955,934,92
87984,721,66
61391,481,47
97664,935,68
58537,137,65
80254,175,61
44730,798,55
83096,220,84
93085,312,10
86124,331,76
68548,74,72
99117,970,93
58449,519,77
81488,332,25
93873,185,71
38100,561,61
69991,688,87
49279,160,88
49270,840,8
99196,568,61
80524,283,71
78460,903,21
69330,615,20
6816,284,40
80030,116,54
61417,647,50
46461,370,69
40512,173,45
27312,526,18
22810,152,88
94151,17,90
96752,532,61
46653,36,97
1832,766,35
54675,417,28
7412,378,61
27389,846,33
62420,622,87
21138,632,82
44163,259,71
98606,542,73
26134,52,38
43410,269,49
8080,579,67
48973,698,1
15024,988,88
38235,895,91
91153,382,81
25752,320,14
69136,335,70
17566,208,31
98398,476,3
9638,495,3
85285,805,87
53126,695,16
84209,925,60
72072,223,74
44423,546,34
80622,604,72
47559,941,90
68920,100,56
32234,872,26
69270,14,66
91620,655,95
3289,577,1
38278,217,21
97738,332,71
42487,469,58
26104,629,86
51158,380,75
55748,155,58
34684,753,24
55718,658,43
47657,828,26
69291,66,27
71393,867,52
96167,590,39
74514,144,23
48114,221,51
30215,693,0
74922,313,25
10790,761,6
60564,279,33
45890,724,78
73630,149,7
1782,359,19
87421,394,9
90189,921,98
865,414,92
10800,127,24
94031,864,64
68525,164,56
15249,931,99
66475,435,53
7106,238,80
65476,596,7
21298,122,2
63678,908,59
10731,827,32
25100,694,83
95796,480,3
39392,594,7
9654,572,57
91888,87,35
53336,440,86
2862,664,11
33424,412,34
71109,986,10
60594,32,27
54200,857,84
31805,458,9
4172,186,39
13938,477,16
71165,83,1
15359,127,76
48924,198,4
56444,443,71
98941,838,35
12617,971,37
43051,362,32
53299,239,73
26162,461,99
31784,348,4
72084,552,50
40178,252,39
18758,584,22
61429,409,98
70698,100,14
85085,479,10
96813,70,80
96780,777,15
62942,473,35
75514,693,13
44451,141,15
32758,13,94
31241,737,44
16551,542,74
76169,22,37
61603,434,9
88124,782,35
2380,248,53
7334,943,39
87266,929,90
64029,495,44
77922,473,25
65567,694,15
83103,114,3
93963,426,32
4757,945,39
53759,196,37
46903,972,33
11101,197,60
8286,384,61
6806,384,83
80306,671,9
96891,289,76
72332,921,27
26442,768,74
41589,597,92
49131,128,54
86076,677,55
43255,667,15
33855,583,87
16957,272,8
9043,448,27
23285,269,33
35280,759,17
67482,616,92
11288,701,22
92152,514,27
11094,955,83
75332,391,83
40343,136,51
75370,386,41
59991,452,84
18490,816,49
51361,147,26
57349,732,95
87075,245,75
43886,731,44
23570,825,31
75999,214,43
32711,699,61
87389,98,75
58037,966,34
57654,224,77
73541,296,21
71271,774,25
69675,379,0
96755,509,63
39280,672,69
27793,928,7
65758,386,1
51396,485,20
61673,416,39
68302,607,39
37444,647,46
2132,143,52
72846,461,57
61571,381,20
46594,818,6
22321,202,40
47721,652,89
68389,191,20
26108,250,9
59371,297,38
56711,90,98
63002,320,3
61297,250,15
96591,816,35
45803,276,17
55208,695,42
97756,415,1
91476,32,71
70689,184,44
20857,771,4
92731,432,7
777,526,39
57964,146,77
45216,973,5
43699,660,29
43482,408,1
65320,566,82
11779,179,28
46766,536,37
28100,446,87
83044,841,20
22360,534,73
34603,932,88
59647,406,91
96820,5,36
57643,254,73
27924,299,16
78896,643,94
92961,748,14
61120,472,15
11242,134,26
94899,610,77
82742,903,92
95186,503,52
41816,247,64
86136,114,81
70653,214,80
9657,981,27
8899,188,89
27305,475,38
12658,874,78
77042,463,13
96707,358,23
53633,673,33
78157,776,77
75088,542,99
8045,816,93
44259,398,66
5349,131,85
17891,761,71
49745,352,51
79622,78,72
75435,955,10
68244,504,87
27883,34,88
2078,320,20
52641,547,19
81932,457,54
94212,729,20
72862,640,60
95943,206,64
73647,184,15
53517,704,5
2014,796,43
31105,577,93
65441,409,51
64885,733,92
32960,632,56
89146,41,81
57633,68,87
99190,115,34
14919,477,85
14299,95,87
34691,317,26
18711,730,11
88292,243,52
88755,533,21
55557,995,71
27757,328,63
75537,696,37
57848,468,83
6414,905,44
28419,834,71
79379,560,53
16873,332,46
73635,599,51
68464,649,52
92270,44,85
31783,996,39
7026,821,83
10152,447,72
29998,879,48
19980,282,28
82942,49,52
72624,328,0
4449,224,52
97993,678,80
95331,107,17
45115,535,61
51254,68,50
37781,463,99
61830,347,83
23088,290,84
26977,455,31
68887,636,12
79436,595,4
80966,95,47
41841,392,1
88562,995,27
26971,765,26
97410,133,77
90464,367,5
90449,380,48
77106,755,37
25580,525,36
12035,318,98
38086,856,49
80399,419,59
8876,986,45
10957,623,7
56913,466,2
87109,138,68
41197,322,58
22157,415,10
27054,55,71
21543,893,2
89210,568,1
89106,413,27
46146,556,53
68566,918,91
94402,281,30
91989,305,73
50744,119,84
94992,798,73
75888,966,75
22281,749,70
38071,196,95
55798,541,60
18364,156,19
56270,316,60
99468,493,40
63824,940,10
18593,965,32
20813,97,4
7995,94,83
25566,925,66
4888,712,85
15561,490,96
35884,403,67
12127,764,11
16801,192,51
85014,457,39
9695,818,85
56456,258,42
49476,284,14
87623,464,70
35309,259,49
14527,850,46
44541,505,53
4633,236,26
98858,422,85
15609,17,57
19827,623,70
73603,437,6
9836,791,28
35802,871,34
8617,894,69
31935,862,27
96580,318,72
7207,346,92
34689,861,55
86767,143,40
26902,479,70
94883,253,76
97237,916,18
39446,354,56
10464,573,16
44480,152,54
94858,126,15
88845,838,28
50742,852,69
35364,874,88
20104,955,38
1814,879,16
39420,833,13
72184,404,67
87690,612,75
62471,499,18
48077,195,31
60198,741,99
51479,431,19
19687,97,55
41009,98,2
98892,439,96
54514,226,40
76729,611,2
81954,545,45
27350,277,8
66205,9,66
21706,159,55
28460,459,96
87334,588,68
97069,298,27
72076,624,37
68370,438,64
20916,400,9
41682,869,17
50041,57,28
71890,239,34
52982,188,42
33796,252,54
74476,530,47
9240,957,53
43530,469,33
30012,196,17
76965,835,63
87507,263,91
25172,348,98
5433,228,17
24425,635,24
15768,782,87
94036,469,8
62928,154,96
55379,252,86
65720,947,53
87414,305,88
51866,883,60
47120,267,27
17594,990,26
48862,517,35
23150,457,71
38008,652,59
39278,831,11
54186,615,87
7657,623,40
25921,304,81
11009,749,34
65237,361,2
77015,890,51
69443,950,20
59258,113,79
73074,97,53
48160,5,34
14338,44,19
34381,903,1
53135,847,86
1234,871,17
15729,739,17
70615,870,43
94599,490,14
90447,443,62
52159,430,81
14251,980,8
91932,255,95
66822,67,55
99832,749,35
49582,922,2
49887,822,77
4450,853,93
8945,860,66
58950,991,86
44416,701,41
66925,914,8
86763,551,75
94696,758,91
51039,91,18
17653,956,51
93431,24,46
64248,82,67
58468,668,49
73047,283,31
49843,927,39
51137,967,65
88919,84,66
48306,944,16
7723,741,90
26117,954,67
76093,133,34
73203,566,52
22082,362,2
82932,1,42
35276,585,23
26142,20,36
40486,543,43
29168,93,29
3690,989,86
38820,901,17
40989,630,99
73115,598,94
58171,932,40
17043,149,93
82359,888,66
31325,897,70
90111,58,37
50159,718,51
38071,668,84
30325,742,70
13836,320,18
61982,199,0
69101,755,64
65581,329,61
19612,256,60
61388,404,43
97767,139,28
95998,331,52
67378,691,11
61523,63,75
63903,839,22
26242,851,96
31793,625,88
97088,558,25
5123,572,43
17843,246,11
90276,977,23
86393,165,45
74479,807,79
51321,928,8
38976,628,99
391,816,10
35644,345,29
28727,989,52
45967,419,88
23149,388,89
34845,428,57
21117,638,82
89241,475,37
48300,455,5
44881,390,54
49353,343,55
25100,235,47
8232,833,95
82577,913,45
77824,445,28
22808,357,91
44410,86,34
87367,752,80
10606,529,43
61806,901,28
84499,897,44
2661,118,85
63315,996,91
80954,515,47
75285,298,18
4652,448,19
15179,126,53
61436,364,4
66633,741,53
45392,722,79
85314,181,54
10694,928,46
43057,661,58
64689,232,44
10637,929,60
59669,576,57
75706,658,33
28474,492,36
67228,481,85
78271,285,57
40533,911,19
6338,629,96
36916,824,83
75019,386,86
54790,920,68
43238,685,75
44353,91,17
78191,795,38
51358,361,81
87440,625,7
68195,146,8
18011,735,3
37718,477,96
23994,772,74
82087,372,79
78637,365,80
93065,986,72
41375,692,11
79622,610,52
68476,702,81
9405,743,75
15084,604,30
68216,812,88
30821,955,72
51461,671,34
34975,410,99
60129,150,55
88683,887,89
65724,989,3
28675,570,21
34832,675,66
86648,496,1
59260,217,6
11391,974,47
49854,975,26
21222,742,34
76452,386,61
92225,536,14
92468,207,84
9635,162,57
1567,112,60
53896,633,28
85837,19,65
75408,134,34
88561,627,67
5574,911,62
68653,914,64
26686,900,96
28988,812,52
74114,660,65
92218,431,64
5358,3,37
93813,865,68
40367,194,8
59182,631,4
72462,295,86
9234,14,58
15831,182,51
30628,115,15
31022,726,10
54806,199,36
73070,323,49
28744,883,25
73398,191,22
22180,493,82
5163,636,85
23551,994,94
43441,727,7
49320,741,91
33693,938,85
6386,212,75
13837,206,82
35875,269,14
75752,841,4
12948,901,78
35926,666,35
46640,670,25
91616,316,77
67222,820,11
87354,989,40
15328,349,3
18922,522,43
8642,17,66
46671,782,49
9829,394,95
81984,533,93
71962,827,38
44670,666,67
93427,748,43
8632,318,8
95365,369,85
98765,409,80
85283,607,46
70228,343,0
88927,683,17
16080,522,36
95704,140,88
39992,47,60
96315,487,66
9880,441,8
34572,768,93
71171,98,92
50717,689,58
9987,213,6
23669,377,82
49550,763,49
51880,413,38
47801,946,43
68580,907,76
89585,501,73
70926,412,52
12401,933,41
28865,791,75
66855,471,93
26289,744,7
64475,23,21
10969,200,99
15036,686,5
60899,399,33
24505,804,33
2790,7,94
87707,688,69
93890,303,96
53846,704,0
82210,48,47
12276,733,87
79177,663,68
65392,696,50
58926,23,35
91145,725,60
